Date,Heure,Date de,Produit,Code ISIN,Description,FX,Mouvements,,Solde,,ID Ordre
17-05-2021,00:00,16-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,03",EUR,"790,47",
14-05-2021,00:00,13-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,50",
13-05-2021,00:00,12-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,52",
12-05-2021,00:00,11-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,53",
11-05-2021,00:00,10-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"790,55",
10-05-2021,00:00,09-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,03",EUR,"790,56",
07-05-2021,00:00,06-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"790,60",
06-05-2021,12:47,06-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,000593 @ 9 882,5498 EUR",,,,EUR,"790,61",
06-05-2021,12:47,06-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Achat 0,05 @ 9 882,5498 EUR",,,,EUR,"796,47",
06-05-2021,00:00,05-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"796,47",
05-05-2021,10:13,04-05-2021,,,Versement de fonds,,EUR,"500,00",EUR,"796,48",
05-05-2021,00:00,04-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,00",EUR,"296,48",
04-05-2021,00:00,03-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,48",
03-05-2021,00:00,02-05-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,49",
30-04-2021,00:00,29-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,50",
29-04-2021,00:00,28-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,51",
28-04-2021,00:00,27-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,00",EUR,"296,51",
27-04-2021,00:00,26-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,52",
26-04-2021,00:00,25-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,52",
23-04-2021,00:00,22-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,54",
22-04-2021,00:00,21-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,54",
21-04-2021,00:00,20-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,00",EUR,"296,55",
20-04-2021,00:00,19-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,55",
19-04-2021,00:00,18-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,56",
16-04-2021,00:00,15-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,57",
15-04-2021,00:00,14-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,58",
14-04-2021,00:00,13-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,58",
13-04-2021,00:00,12-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,59",
12-04-2021,00:00,11-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,60",
09-04-2021,00:00,08-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,61",
08-04-2021,00:00,07-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,62",
07-04-2021,00:00,06-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,62",
06-04-2021,16:05,06-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,"Conversion Fonds Monétaires finalisée: Vente 0,000518 @ 9 887,9194 EUR",,,,EUR,"296,63",
06-04-2021,00:00,05-04-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,02",EUR,"291,51",
01-04-2021,12:04,31-03-2021,,,Frais de connexion aux places boursières 2021 (Borsa Italiana S.p.A. - MIL),,EUR,"-2,50",EUR,"291,53",
01-04-2021,12:04,31-03-2021,,,Frais de connexion aux places boursières 2021 (London Stock Exchange (LSE) - LSE),,EUR,"-2,50",EUR,"294,03",
01-04-2021,12:04,31-03-2021,,,Frais de connexion aux places boursières 2021 (Xetra - XET),,EUR,"-0,12",EUR,"296,53",
01-04-2021,00:00,31-03-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,65",
31-03-2021,00:00,30-03-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,00",EUR,"296,66",
30-03-2021,00:00,29-03-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,01",EUR,"296,66",
